epoch,sat,elev_deg,raw_L1_P1,corr_L1_P1,code_bias,phase_bias
2100,G23,34.41,32.477,30.7483,-1.556,0.249268
2100,G24,29.35,0.905,3.3805,2.3211,-0.26329
2100,G27,19.62,-1.5038,0.9475,2.6037,0.213188
2100,G29,24.7,34.7849,33.8674,-1.3093,-0.295571
2100,G32,53.53,12.5564,14.5226,2.238,0.163342
2400,G02,22.81,0.0592,-2.3843,-2.752,-0.224062
2400,G08,12.09,0.5503,4.5852,3.6076,-0.344881
2400,G10,43.83,17.3908,20.0867,2.6666,0.062792
2400,G18,19.83,33.9055,32.6722,-1.5584,-0.244457
2400,G23,27.02,34.0704,32.3471,-1.556,0.249268
2400,G26,16.0,6.44,9.8975,3.917,0.357428
2400,G27,20.98,6.3023,8.7844,2.6037,0.213188
2400,G28,78.74,17.7797,15.8586,-1.9018,-0.08432
2400,G31,44.63,12.6376,10.1142,-2.4096,0.011689
2400,G32,41.08,19.2975,21.2729,2.238,0.163342
2700,G01,35.35,6.965,5.1205,-1.8757,0.061041
2700,G02,36.48,3.2922,0.8511,-2.752,-0.224062
2700,G03,23.62,2.6221,4.9406,2.2467,-0.159055
2700,G04,10.34,0.858,0.3234,-0.279,0.351
2700,G10,24.91,20.0939,22.7554,2.6666,0.062792
2700,G16,43.33,3.4298,3.0557,-0.7365,-0.289045
2700,G26,61.23,12.9681,16.419,3.917,0.357428
2700,G28,28.54,22.4085,20.5208,-1.9018,-0.08432
2700,G31,55.08,19.2079,16.6991,-2.4096,0.011689
2700,G32,18.5,21.2868,23.327,2.238,0.163342
0,E04,24.63,27.1905,26.198,-0.9851,-0.001496
0,E05,19.48,2.6437,3.5583,0.9771,-0.01865
0,E09,41.52,19.8879,20.2683,0.4258,-0.016165
0,E16,62.43,6.8646,6.1776,-0.843,-0.086697
300,E02,15.25,-3.0135,-3.247,-0.3951,-0.094674
300,E03,12.98,-0.1757,0.6548,0.8801,-0.012169
300,E05,57.93,-2.7068,-1.7453,0.9771,-0.01865
300,E09,50.55,10.8992,11.3502,0.4258,-0.016165
300,E16,52.75,0.7404,0.1469,-0.843,-0.086697
300,E25,63.94,-1.6493,-0.7783,0.9358,0.141451
600,E02,33.91,-13.5655,-13.7093,-0.3951,-0.094674
600,E03,58.79,-7.4023,-6.5133,0.8801,-0.012169
600,E05,58.11,-15.2823,-14.2717,0.9771,-0.01865
600,E25,41.17,-16.3643,-15.3926,0.9358,0.141451
900,E02,37.82,-19.5996,-19.7071,-0.3951,-0.094674
900,E03,34.07,-15.1172,-14.2121,0.8801,-0.012169
900,E25,28.52,-30.5618,-29.5653,0.9358,0.141451
900,E34,45.9,15.2895,16.4226,1.0977,-0.026885
1200,E02,57.36,-12.6927,-12.7811,-0.3951,-0.094674
1200,E14,39.8,-7.7643,-8.4794,-0.5389,0.19938
1200,E30,41.81,16.2366,17.1096,0.5389,-0.316899
1200,E34,67.85,15.4128,16.555,1.0977,-0.026885
1500,E02,25.81,-24.0934,-24.2647,-0.3951,-0.094674
1500,E13,27.86,11.901,13.2567,1.4821,0.142341
1500,E30,78.43,26.5366,27.4174,0.5389,-0.316899
1500,E34,19.96,-4.1023,-2.9304,1.0977,-0.026885
1800,E07,73.47,17.3667,18.6022,1.549,0.203757
1800,E13,59.14,38.7171,40.1395,1.4821,0.142341
1800,E18,27.75,9.22,8.8217,-0.5621,-0.097247
1800,E26,35.04,8.3693,6.7978,-1.3645,0.282461
1800,E29,44.03,7.8651,7.1785,-0.714,-0.129232
2100,E07,25.43,19.4374,20.6944,1.549,0.203757
2100,E13,32.88,39.8505,41.2704,1.4821,0.142341
2100,E18,20.68,12.8073,12.4303,-0.5621,-0.097247
2100,E26,83.12,13.193,11.633,-1.3645,0.282461
2100,E29,48.43,14.9298,14.2446,-0.714,-0.129232
2100,E33,37.74,3.5538,2.598,-1.0408,0.004209
0,E04,24.65,27.142,26.1492,-0.9851,-0.001496
0,E09,41.46,19.8862,20.2664,0.4258,-0.016165
0,E16,62.22,6.7239,6.0369,-0.843,-0.086697
0,G01,25.89,0.0175,-1.8382,-1.8757,0.061041
0,G03,61.0,2.4754,4.7918,2.2467,-0.159055
0,G04,26.04,3.7914,3.0845,-0.279,0.351
0,G08,15.92,0.7343,4.747,3.6076,-0.344881
0,G16,70.69,7.3496,6.9863,-0.7365,-0.289045
0,G26,40.32,8.4663,11.9783,3.917,0.357428
0,G27,22.05,3.347,5.7834,2.6037,0.213188
0,G31,24.59,14.668,12.1981,-2.4096,0.011689
300,E02,15.13,-3.266,-3.4995,-0.3951,-0.094674
300,E03,12.84,0.1212,0.9516,0.8801,-0.012169
300,E05,57.75,-2.599,-1.6378,0.9771,-0.01865
300,E09,50.61,10.9928,11.4437,0.4258,-0.016165
300,E16,52.94,0.9555,0.362,-0.843,-0.086697
300,E25,63.9,-1.637,-0.7662,0.9358,0.141451
300,G03,30.23,-8.944,-6.6825,2.2467,-0.159055
300,G04,72.75,-1.035,-1.6654,-0.279,0.351
300,G07,26.01,-6.8601,-8.1824,-1.3612,0.08747
300,G08,55.81,-6.3368,-2.3782,3.6076,-0.344881
300,G09,58.73,-3.8335,-1.6537,2.3389,0.116877
300,G14,15.95,-1.982,-3.0884,-1.3599,-0.181428
300,G27,33.28,-5.1165,-2.7355,2.6037,0.213188
600,E02,33.91,-13.445,-13.5893,-0.3951,-0.094674
600,E03,58.69,-7.4659,-6.5771,0.8801,-0.012169
600,E05,58.32,-15.2709,-14.2603,0.9771,-0.01865
600,E25,41.26,-16.3364,-15.3648,0.9358,0.141451
600,G01,28.45,1.263,-0.6671,-1.8757,0.061041
600,G02,21.76,-5.8,-8.3266,-2.752,-0.224062
600,G07,56.72,-17.4552,-18.7166,-1.3612,0.08747
600,G09,42.39,-20.0141,-17.7737,2.3389,0.116877
600,G14,35.82,-12.9228,-13.9374,-1.3599,-0.181428
600,G17,52.3,4.8779,3.4193,-1.6004,-0.119713
600,G19,27.0,3.1263,1.2927,-2.0151,-0.148613
600,G22,30.36,-5.4081,-6.6009,-1.0505,0.292759
600,G30,43.22,-12.0203,-8.8855,3.3328,0.183326
900,E02,37.77,-19.4488,-19.5563,-0.3951,-0.094674
900,E03,34.22,-14.6526,-13.7474,0.8801,-0.012169
900,E25,28.53,-30.5882,-29.5918,0.9358,0.141451
900,E34,45.7,15.4705,16.6037,1.0977,-0.026885
900,G06,58.13,13.4331,16.7099,2.9757,-0.292256
900,G07,29.22,-25.1728,-26.4266,-1.3612,0.08747
900,G11,18.57,6.8952,5.4335,-1.5717,-0.096578
900,G13,31.51,2.4902,0.778,-1.5316,0.195444
900,G14,42.12,-17.599,-18.5795,-1.3599,-0.181428
900,G17,46.6,-0.7389,-2.2151,-1.6004,-0.119713
900,G19,55.42,8.1511,6.2899,-2.0151,-0.148613
900,G22,40.15,-9.1464,-10.2943,-1.0505,0.292759
900,G30,61.54,-10.1743,-7.0168,3.3328,0.183326
1200,E02,57.34,-12.6078,-12.6962,-0.3951,-0.094674
1200,E14,39.87,-7.6099,-8.3251,-0.5389,0.19938
1200,E30,41.65,16.5488,17.4218,0.5389,-0.316899
1200,E34,68.06,15.5558,16.698,1.0977,-0.026885
1200,G05,23.19,10.0868,8.3753,-1.5022,0.206251
1200,G06,42.69,2.9839,6.2737,2.9757,-0.292256
1200,G11,71.26,22.8154,21.3539,-1.5717,-0.096578
1200,G12,23.81,11.2022,9.1591,-2.0193,0.038826
1200,G14,26.14,-23.6237,-24.6088,-1.3599,-0.181428
1200,G17,14.55,1.1137,-0.3292,-1.6004,-0.119713
1200,G19,27.16,-8.3214,-10.1604,-2.0151,-0.148613
1200,G21,41.26,13.1735,11.1085,-1.9424,0.122696
1200,G22,41.6,-6.8483,-7.9829,-1.0505,0.292759
1200,G24,36.07,17.2102,19.8071,2.3211,-0.26329
1500,E02,25.98,-24.0145,-24.1858,-0.3951,-0.094674
1500,E13,27.84,11.7134,13.069,1.4821,0.142341
1500,E30,78.65,26.3287,27.2096,0.5389,-0.316899
1500,E34,20.06,-3.7295,-2.5576,1.0977,-0.026885
1500,G05,80.57,26.0935,24.4196,-1.5022,0.206251
1500,G11,26.02,6.724,5.2946,-1.5717,-0.096578
1500,G12,76.26,32.7752,30.7388,-2.0193,0.038826
1500,G13,20.55,5.5434,3.7415,-1.5316,0.195444
1500,G15,25.5,15.2424,13.2834,-1.6466,0.280798
1500,G21,47.5,13.5431,11.5237,-1.9424,0.122696
1500,G25,45.48,28.4732,32.4801,3.7313,-0.250468
1500,G29,17.97,10.0584,9.0743,-1.3093,-0.295571
1800,E03,24.92,14.5024,15.4646,0.8801,-0.012169
1800,E07,30.97,9.5362,10.8139,1.549,0.203757
1800,E13,30.89,27.5577,28.9476,1.4821,0.142341
1800,G10,17.61,0.4059,3.0145,2.6666,0.062792
1800,G12,13.08,-1.5098,-3.639,-2.0193,0.038826
1800,G13,29.97,21.3602,19.5136,-1.5316,0.195444
1800,G15,63.54,36.6058,34.5588,-1.6466,0.280798
1800,G18,26.52,25.5534,24.2879,-1.5584,-0.244457
1800,G23,45.03,27.5014,25.7322,-1.556,0.249268
1800,G25,30.62,38.6906,42.6327,3.7313,-0.250468
1800,G29,77.72,39.8566,38.9061,-1.3093,-0.295571
2100,E07,85.6,15.9364,17.171,1.549,0.203757
2100,E13,53.91,36.3539,37.7734,1.4821,0.142341
2100,E18,18.18,1.5128,1.1079,-0.5621,-0.097247
2100,E26,26.62,4.3658,2.7886,-1.3645,0.282461
2100,E29,35.54,5.2665,4.5885,-0.714,-0.129232
2100,G10,30.88,8.739,11.4101,2.6666,0.062792
2100,G18,60.97,36.2802,35.0471,-1.5584,-0.244457
2100,G23,34.41,32.477,30.7483,-1.556,0.249268
2100,G24,29.35,0.905,3.3805,2.3211,-0.26329
2100,G27,19.62,-1.5038,0.9475,2.6037,0.213188
2100,G29,24.7,34.7849,33.8674,-1.3093,-0.295571
2100,G32,53.53,12.5564,14.5226,2.238,0.163342
2400,E07,32.3,19.7228,20.9728,1.549,0.203757
2400,E13,43.06,39.8535,41.2761,1.4821,0.142341
2400,E18,26.22,11.7756,11.4016,-0.5621,-0.097247
2400,E26,80.83,12.7677,11.2079,-1.3645,0.282461
2400,E29,52.35,14.448,13.7593,-0.714,-0.129232
2400,E33,28.23,3.6994,2.7408,-1.0408,0.004209
2400,G02,22.81,0.0592,-2.3843,-2.752,-0.224062
2400,G08,12.09,0.5503,4.5852,3.6076,-0.344881
2400,G10,43.83,17.3908,20.0867,2.6666,0.062792
2400,G18,19.83,33.9055,32.6722,-1.5584,-0.244457
2400,G23,27.02,34.0704,32.3471,-1.556,0.249268
2400,G26,16.0,6.44,9.8975,3.917,0.357428
2400,G27,20.98,6.3023,8.7844,2.6037,0.213188
2400,G28,78.74,17.7797,15.8586,-1.9018,-0.08432
2400,G31,44.63,12.6376,10.1142,-2.4096,0.011689
2400,G32,41.08,19.2975,21.2729,2.238,0.163342
2700,E26,33.53,14.9526,13.3812,-1.3645,0.282461
2700,E29,36.14,19.4108,18.7502,-0.714,-0.129232
2700,E33,51.31,7.6373,6.681,-1.0408,0.004209
2700,G01,35.35,6.965,5.1205,-1.8757,0.061041
2700,G02,36.48,3.2922,0.8511,-2.752,-0.224062
2700,G03,23.62,2.6221,4.9406,2.2467,-0.159055
2700,G04,10.34,0.858,0.3234,-0.279,0.351
2700,G10,24.91,20.0939,22.7554,2.6666,0.062792
2700,G16,43.33,3.4298,3.0557,-0.7365,-0.289045
2700,G26,61.23,12.9681,16.419,3.917,0.357428
2700,G28,28.54,22.4085,20.5208,-1.9018,-0.08432
2700,G31,55.08,19.2079,16.6991,-2.4096,0.011689
2700,G32,18.5,21.2868,23.327,2.238,0.163342
