Date,Time,Seconds_of_Day,X_ECEF(m),Y_ECEF(m),Z_ECEF(m)
2026/02/07,00:30:30.000,1830.0,1337935.3262,6070316.7606,1427877.2913
2026/02/07,00:31:00.000,1860.0,1337935.3194,6070316.7491,1427877.2865
2026/02/07,00:31:30.000,1890.0,1337935.3177,6070316.7473,1427877.2854
2026/02/07,00:32:00.000,1920.0,1337935.3176,6070316.749,1427877.2861
2026/02/07,00:32:30.000,1950.0,1337935.3172,6070316.7497,1427877.2863
2026/02/07,00:33:00.000,1980.0,1337935.3167,6070316.7519,1427877.2871
2026/02/07,00:33:30.000,2010.0,1337935.3163,6070316.7629,1427877.2904
2026/02/07,00:34:00.000,2040.0,1337935.3142,6070316.7829,1427877.2953
2026/02/07,00:34:30.000,2070.0,1337935.3095,6070316.7713,1427877.2954
2026/02/07,00:35:00.000,2100.0,1337935.3056,6070316.8045,1427877.3089
2026/02/07,00:35:30.000,2130.0,1337935.3086,6070316.8385,1427877.3174
2026/02/07,00:36:00.000,2160.0,1337935.3098,6070316.8469,1427877.3196
2026/02/07,00:36:30.000,2190.0,1337935.3097,6070316.8478,1427877.3201
2026/02/07,00:37:00.000,2220.0,1337935.3107,6070316.8495,1427877.321
2026/02/07,00:37:30.000,2250.0,1337935.311,6070316.8486,1427877.3209
2026/02/07,00:38:00.000,2280.0,1337935.3118,6070316.8468,1427877.3206
2026/02/07,00:38:30.000,2310.0,1337935.3118,6070316.8425,1427877.3195
2026/02/07,00:39:00.000,2340.0,1337935.3119,6070316.8398,1427877.3194
2026/02/07,00:39:30.000,2370.0,1337935.3136,6070316.8588,1427877.3265
2026/02/07,00:40:00.000,2400.0,1337935.3207,6070316.9182,1427877.3459
2026/02/07,00:40:30.000,2430.0,1337935.3223,6070316.9228,1427877.3483
2026/02/07,00:41:00.000,2460.0,1337935.3232,6070316.9243,1427877.3487
2026/02/07,00:41:30.000,2490.0,1337935.3253,6070316.9303,1427877.3509
2026/02/07,00:42:00.000,2520.0,1337935.328,6070316.9358,1427877.3532
2026/02/07,00:42:30.000,2550.0,1337935.3311,6070316.9418,1427877.3558
2026/02/07,00:43:00.000,2580.0,1337935.3355,6070316.9516,1427877.3603
2026/02/07,00:43:30.000,2610.0,1337935.3408,6070316.9649,1427877.3666
2026/02/07,00:44:00.000,2640.0,1337935.3502,6070316.9892,1427877.3783
2026/02/07,00:44:30.000,2670.0,1337935.3542,6070317.0017,1427877.3878
2026/02/07,00:45:00.000,2700.0,1337935.3702,6070317.0477,1427877.408
2026/02/07,00:45:30.000,2730.0,1337935.3789,6070317.0678,1427877.4169
2026/02/07,00:46:00.000,2760.0,1337935.3848,6070317.0807,1427877.4218
2026/02/07,00:46:30.000,2790.0,1337935.3878,6070317.0875,1427877.4244
2026/02/07,00:47:00.000,2820.0,1337935.3881,6070317.0876,1427877.4245
2026/02/07,00:47:30.000,2850.0,1337935.3888,6070317.0884,1427877.425
2026/02/07,00:48:00.000,2880.0,1337935.3939,6070317.0942,1427877.4281
2026/02/07,00:48:30.000,2910.0,1337935.398,6070317.1002,1427877.4309
2026/02/07,00:49:00.000,2940.0,1337935.4044,6070317.1131,1427877.436
2026/02/07,00:49:30.000,2970.0,1337935.4278,6070317.1584,1427877.4557
2026/02/07,00:50:00.000,3000.0,1337935.4639,6070317.2335,1427877.4863
2026/02/07,00:50:30.000,3030.0,1337935.4793,6070317.2608,1427877.4981
2026/02/07,00:51:00.000,3060.0,1337935.4858,6070317.2711,1427877.5026
2026/02/07,00:51:30.000,3090.0,1337935.4883,6070317.274,1427877.5038
2026/02/07,00:52:00.000,3120.0,1337935.4894,6070317.2745,1427877.504
2026/02/07,00:52:30.000,3150.0,1337935.4905,6070317.2754,1427877.5044
2026/02/07,00:53:00.000,3180.0,1337935.4931,6070317.2802,1427877.5063
2026/02/07,00:53:30.000,3210.0,1337935.4974,6070317.2887,1427877.5095
2026/02/07,00:54:00.000,3240.0,1337935.4974,6070317.2897,1427877.5095
2026/02/07,00:54:30.000,3270.0,1337935.4953,6070317.2877,1427877.5086
2026/02/07,00:55:00.000,3300.0,1337935.4823,6070317.2685,1427877.4988
2026/02/07,00:55:30.000,3330.0,1337935.474,6070317.2606,1427877.4936
2026/02/07,00:56:00.000,3360.0,1337935.4658,6070317.2462,1427877.487
2026/02/07,00:56:30.000,3390.0,1337935.4629,6070317.2422,1427877.485
2026/02/07,00:57:00.000,3420.0,1337935.4604,6070317.2386,1427877.4833
2026/02/07,00:57:30.000,3450.0,1337935.4592,6070317.2366,1427877.4825
2026/02/07,00:58:00.000,3480.0,1337935.4571,6070317.2331,1427877.4811
2026/02/07,00:58:30.000,3510.0,1337935.4529,6070317.2262,1427877.4783
2026/02/07,00:59:00.000,3540.0,1337935.4461,6070317.2132,1427877.4737
2026/02/07,00:59:30.000,3570.0,1337935.4361,6070317.1953,1427877.4666
2026/02/07,01:00:00.000,3600.0,1337935.4382,6070317.1879,1427877.4639
2026/02/07,01:00:30.000,3630.0,1337935.44,6070317.1859,1427877.4643
2026/02/07,01:01:00.000,3660.0,1337935.44,6070317.184,1427877.4639
2026/02/07,01:01:30.000,3690.0,1337935.4403,6070317.184,1427877.4639
2026/02/07,01:02:00.000,3720.0,1337935.4399,6070317.1834,1427877.4637
2026/02/07,01:02:30.000,3750.0,1337935.4398,6070317.1834,1427877.4636
2026/02/07,01:03:00.000,3780.0,1337935.4397,6070317.1836,1427877.4636
2026/02/07,01:03:30.000,3810.0,1337935.4398,6070317.1839,1427877.4636
2026/02/07,01:04:00.000,3840.0,1337935.4426,6070317.1872,1427877.4651
2026/02/07,01:04:30.000,3870.0,1337935.4462,6070317.1886,1427877.4677
2026/02/07,01:05:00.000,3900.0,1337935.4531,6070317.1962,1427877.4727
2026/02/07,01:05:30.000,3930.0,1337935.4567,6070317.2004,1427877.4751
2026/02/07,01:06:00.000,3960.0,1337935.459,6070317.2038,1427877.4763
2026/02/07,01:06:30.000,3990.0,1337935.4623,6070317.2073,1427877.4779
2026/02/07,01:07:00.000,4020.0,1337935.4633,6070317.2083,1427877.4785
2026/02/07,01:07:30.000,4050.0,1337935.4643,6070317.2093,1427877.479
2026/02/07,01:08:00.000,4080.0,1337935.4658,6070317.2109,1427877.4797
2026/02/07,01:08:30.000,4110.0,1337935.4676,6070317.2131,1427877.4807
2026/02/07,01:09:00.000,4140.0,1337935.4706,6070317.2162,1427877.4823
2026/02/07,01:09:30.000,4170.0,1337935.472,6070317.2149,1427877.4824
2026/02/07,01:10:00.000,4200.0,1337935.4764,6070317.2138,1427877.4827
2026/02/07,01:10:30.000,4230.0,1337935.4821,6070317.22,1427877.4853
2026/02/07,01:11:00.000,4260.0,1337935.4855,6070317.2235,1427877.487
2026/02/07,01:11:30.000,4290.0,1337935.4873,6070317.2254,1427877.4879
2026/02/07,01:12:00.000,4320.0,1337935.488,6070317.2262,1427877.4883
2026/02/07,01:12:30.000,4350.0,1337935.4885,6070317.2267,1427877.4885
2026/02/07,01:13:00.000,4380.0,1337935.4897,6070317.2274,1427877.489
2026/02/07,01:13:30.000,4410.0,1337935.4913,6070317.2288,1427877.4898
2026/02/07,01:14:00.000,4440.0,1337935.4942,6070317.231,1427877.491
2026/02/07,01:14:30.000,4470.0,1337935.5026,6070317.2381,1427877.4945
2026/02/07,01:15:00.000,4500.0,1337935.4982,6070317.2304,1427877.4917
2026/02/07,01:15:30.000,4530.0,1337935.4973,6070317.2299,1427877.4915
2026/02/07,01:16:00.000,4560.0,1337935.4976,6070317.23,1427877.4918
2026/02/07,01:16:30.000,4590.0,1337935.4973,6070317.2295,1427877.4916
2026/02/07,01:17:00.000,4620.0,1337935.4967,6070317.2291,1427877.4914
2026/02/07,01:17:30.000,4650.0,1337935.497,6070317.2294,1427877.4916
2026/02/07,01:18:00.000,4680.0,1337935.4976,6070317.23,1427877.4919
2026/02/07,01:18:30.000,4710.0,1337935.4988,6070317.2308,1427877.4926
2026/02/07,01:19:00.000,4740.0,1337935.4994,6070317.2309,1427877.4932
2026/02/07,01:19:30.000,4770.0,1337935.5034,6070317.233,1427877.4954
2026/02/07,01:20:00.000,4800.0,1337935.5174,6070317.2463,1427877.5026
2026/02/07,01:20:30.000,4830.0,1337935.5189,6070317.2485,1427877.5041
2026/02/07,01:21:00.000,4860.0,1337935.5184,6070317.2483,1427877.5041
2026/02/07,01:21:30.000,4890.0,1337935.5187,6070317.2485,1427877.5043
2026/02/07,01:22:00.000,4920.0,1337935.5193,6070317.2489,1427877.5045
2026/02/07,01:22:30.000,4950.0,1337935.52,6070317.2495,1427877.5047
2026/02/07,01:23:00.000,4980.0,1337935.5209,6070317.2504,1427877.5051
2026/02/07,01:23:30.000,5010.0,1337935.5209,6070317.2506,1427877.5051
2026/02/07,01:24:00.000,5040.0,1337935.5193,6070317.2494,1427877.5044
2026/02/07,01:24:30.000,5070.0,1337935.5194,6070317.2497,1427877.5047
2026/02/07,01:25:00.000,5100.0,1337935.5199,6070317.2493,1427877.5055
2026/02/07,01:25:30.000,5130.0,1337935.5177,6070317.2466,1427877.5052
2026/02/07,01:26:00.000,5160.0,1337935.5177,6070317.2464,1427877.5053
2026/02/07,01:26:30.000,5190.0,1337935.5184,6070317.2467,1427877.5056
2026/02/07,01:27:00.000,5220.0,1337935.519,6070317.2468,1427877.5058
2026/02/07,01:27:30.000,5250.0,1337935.5194,6070317.247,1427877.5059
2026/02/07,01:28:00.000,5280.0,1337935.5195,6070317.2469,1427877.506
2026/02/07,01:28:30.000,5310.0,1337935.5195,6070317.2467,1427877.506
2026/02/07,01:29:00.000,5340.0,1337935.5185,6070317.246,1427877.5058
2026/02/07,01:29:30.000,5370.0,1337935.5155,6070317.2432,1427877.505
2026/02/07,01:30:00.000,5400.0,1337935.5144,6070317.2426,1427877.5052
2026/02/07,01:30:30.000,5430.0,1337935.5136,6070317.2425,1427877.5049
2026/02/07,01:31:00.000,5460.0,1337935.5148,6070317.2435,1427877.5052
2026/02/07,01:31:30.000,5490.0,1337935.5159,6070317.2441,1427877.5054
2026/02/07,01:32:00.000,5520.0,1337935.5165,6070317.2446,1427877.5055
2026/02/07,01:32:30.000,5550.0,1337935.517,6070317.2449,1427877.5057
2026/02/07,01:33:00.000,5580.0,1337935.5179,6070317.2455,1427877.5059
2026/02/07,01:33:30.000,5610.0,1337935.5184,6070317.2459,1427877.506
2026/02/07,01:34:00.000,5640.0,1337935.519,6070317.2465,1427877.5061
2026/02/07,01:34:30.000,5670.0,1337935.5229,6070317.2497,1427877.507
2026/02/07,01:35:00.000,5700.0,1337935.5292,6070317.2526,1427877.5084
2026/02/07,01:35:30.000,5730.0,1337935.5297,6070317.2518,1427877.5086
2026/02/07,01:36:00.000,5760.0,1337935.5288,6070317.2507,1427877.5084
2026/02/07,01:36:30.000,5790.0,1337935.5285,6070317.2503,1427877.5082
2026/02/07,01:37:00.000,5820.0,1337935.5282,6070317.2502,1427877.5082
2026/02/07,01:37:30.000,5850.0,1337935.5281,6070317.2502,1427877.5082
2026/02/07,01:38:00.000,5880.0,1337935.5277,6070317.2499,1427877.5081
2026/02/07,01:38:30.000,5910.0,1337935.5267,6070317.2489,1427877.5078
2026/02/07,01:39:00.000,5940.0,1337935.5244,6070317.2472,1427877.5073
2026/02/07,01:39:30.000,5970.0,1337935.5206,6070317.2441,1427877.5066
2026/02/07,01:40:00.000,6000.0,1337935.5192,6070317.2408,1427877.5064
2026/02/07,01:40:30.000,6030.0,1337935.519,6070317.2401,1427877.5062
2026/02/07,01:41:00.000,6060.0,1337935.519,6070317.2398,1427877.5061
2026/02/07,01:41:30.000,6090.0,1337935.5191,6070317.2397,1427877.506
2026/02/07,01:42:00.000,6120.0,1337935.5195,6070317.2398,1427877.5061
2026/02/07,01:42:30.000,6150.0,1337935.5197,6070317.2398,1427877.5062
2026/02/07,01:43:00.000,6180.0,1337935.5197,6070317.2399,1427877.5062
2026/02/07,01:43:30.000,6210.0,1337935.5198,6070317.2402,1427877.5063
2026/02/07,01:44:00.000,6240.0,1337935.5191,6070317.2401,1427877.5061
2026/02/07,01:44:30.000,6270.0,1337935.5185,6070317.2394,1427877.5061
2026/02/07,01:45:00.000,6300.0,1337935.5132,6070317.2349,1427877.5049
2026/02/07,01:45:30.000,6330.0,1337935.5098,6070317.2323,1427877.5046
2026/02/07,01:46:00.000,6360.0,1337935.5089,6070317.2317,1427877.5044
2026/02/07,01:46:30.000,6390.0,1337935.5086,6070317.2314,1427877.5043
2026/02/07,01:47:00.000,6420.0,1337935.5083,6070317.2312,1427877.5043
2026/02/07,01:47:30.000,6450.0,1337935.5083,6070317.2311,1427877.5042
2026/02/07,01:48:00.000,6480.0,1337935.5083,6070317.231,1427877.5042
2026/02/07,01:48:30.000,6510.0,1337935.5086,6070317.2312,1427877.5043
2026/02/07,01:49:00.000,6540.0,1337935.5092,6070317.232,1427877.5046
2026/02/07,01:49:30.000,6570.0,1337935.5103,6070317.2333,1427877.5052
2026/02/07,01:50:00.000,6600.0,1337935.5096,6070317.2342,1427877.5062
2026/02/07,01:50:30.000,6630.0,1337935.5094,6070317.2351,1427877.5067
2026/02/07,01:51:00.000,6660.0,1337935.5094,6070317.2357,1427877.507
2026/02/07,01:51:30.000,6690.0,1337935.5097,6070317.2361,1427877.5071
2026/02/07,01:52:00.000,6720.0,1337935.5096,6070317.2362,1427877.5071
2026/02/07,01:52:30.000,6750.0,1337935.5098,6070317.2363,1427877.5072
2026/02/07,01:53:00.000,6780.0,1337935.5102,6070317.2366,1427877.5072
2026/02/07,01:53:30.000,6810.0,1337935.5109,6070317.2372,1427877.5074
2026/02/07,01:54:00.000,6840.0,1337935.5115,6070317.2374,1427877.5073
2026/02/07,01:54:30.000,6870.0,1337935.5129,6070317.238,1427877.5074
2026/02/07,01:55:00.000,6900.0,1337935.516,6070317.2391,1427877.5088
2026/02/07,01:55:30.000,6930.0,1337935.5172,6070317.2403,1427877.5092
2026/02/07,01:56:00.000,6960.0,1337935.5175,6070317.2407,1427877.5093
2026/02/07,01:56:30.000,6990.0,1337935.5177,6070317.2405,1427877.5092
2026/02/07,01:57:00.000,7020.0,1337935.5178,6070317.2404,1427877.5092
2026/02/07,01:57:30.000,7050.0,1337935.5179,6070317.2403,1427877.5091
2026/02/07,01:58:00.000,7080.0,1337935.518,6070317.24,1427877.509
2026/02/07,01:58:30.000,7110.0,1337935.5181,6070317.2396,1427877.5089
2026/02/07,01:59:00.000,7140.0,1337935.5185,6070317.2389,1427877.5085
2026/02/07,01:59:30.000,7170.0,1337935.5182,6070317.2365,1427877.5074
2026/02/07,02:00:00.000,7200.0,1337935.5171,6070317.234,1427877.5066
2026/02/07,02:00:30.000,7230.0,1337935.5186,6070317.2359,1427877.5069
2026/02/07,02:01:00.000,7260.0,1337935.5184,6070317.2358,1427877.5069
2026/02/07,02:01:30.000,7290.0,1337935.5184,6070317.2359,1427877.5069
2026/02/07,02:02:00.000,7320.0,1337935.5185,6070317.2359,1427877.5068
2026/02/07,02:02:30.000,7350.0,1337935.5182,6070317.2356,1427877.5067
2026/02/07,02:03:00.000,7380.0,1337935.5181,6070317.2353,1427877.5066
2026/02/07,02:03:30.000,7410.0,1337935.5181,6070317.2351,1427877.5065
2026/02/07,02:04:00.000,7440.0,1337935.5181,6070317.235,1427877.5066
2026/02/07,02:04:30.000,7470.0,1337935.5184,6070317.2364,1427877.507
2026/02/07,02:05:00.000,7500.0,1337935.5159,6070317.2368,1427877.5074
2026/02/07,02:05:30.000,7530.0,1337935.517,6070317.2381,1427877.508
2026/02/07,02:06:00.000,7560.0,1337935.5166,6070317.238,1427877.5081
2026/02/07,02:06:30.000,7590.0,1337935.5166,6070317.238,1427877.5081
2026/02/07,02:07:00.000,7620.0,1337935.5169,6070317.2382,1427877.5082
2026/02/07,02:07:30.000,7650.0,1337935.517,6070317.2382,1427877.5082
2026/02/07,02:08:00.000,7680.0,1337935.5171,6070317.2382,1427877.5082
2026/02/07,02:08:30.000,7710.0,1337935.5172,6070317.2382,1427877.5082
2026/02/07,02:09:00.000,7740.0,1337935.5165,6070317.2378,1427877.5081
2026/02/07,02:09:30.000,7770.0,1337935.5134,6070317.2355,1427877.5076
2026/02/07,02:10:00.000,7800.0,1337935.513,6070317.2342,1427877.5076
2026/02/07,02:10:30.000,7830.0,1337935.5143,6070317.2348,1427877.5078
2026/02/07,02:11:00.000,7860.0,1337935.5147,6070317.2349,1427877.5078
2026/02/07,02:11:30.000,7890.0,1337935.5155,6070317.2353,1427877.5079
2026/02/07,02:12:00.000,7920.0,1337935.516,6070317.2356,1427877.5079
2026/02/07,02:12:30.000,7950.0,1337935.5162,6070317.2356,1427877.5079
2026/02/07,02:13:00.000,7980.0,1337935.5163,6070317.2357,1427877.5079
2026/02/07,02:13:30.000,8010.0,1337935.5171,6070317.2361,1427877.508
2026/02/07,02:14:00.000,8040.0,1337935.5179,6070317.2365,1427877.508
2026/02/07,02:14:30.000,8070.0,1337935.5187,6070317.2366,1427877.5081
2026/02/07,02:15:00.000,8100.0,1337935.5172,6070317.2351,1427877.5076
2026/02/07,02:15:30.000,8130.0,1337935.515,6070317.2337,1427877.5072
2026/02/07,02:16:00.000,8160.0,1337935.5138,6070317.2328,1427877.507
2026/02/07,02:16:30.000,8190.0,1337935.5134,6070317.2326,1427877.507
2026/02/07,02:17:00.000,8220.0,1337935.5136,6070317.2327,1427877.507
2026/02/07,02:17:30.000,8250.0,1337935.5138,6070317.2328,1427877.5071
2026/02/07,02:18:00.000,8280.0,1337935.5142,6070317.233,1427877.5071
2026/02/07,02:18:30.000,8310.0,1337935.5152,6070317.2335,1427877.5073
2026/02/07,02:19:00.000,8340.0,1337935.515,6070317.2333,1427877.5072
2026/02/07,02:19:30.000,8370.0,1337935.5147,6070317.2328,1427877.5072
2026/02/07,02:20:00.000,8400.0,1337935.5144,6070317.2313,1427877.5069
2026/02/07,02:20:30.000,8430.0,1337935.5167,6070317.2322,1427877.5071
2026/02/07,02:21:00.000,8460.0,1337935.5185,6070317.2331,1427877.5073
2026/02/07,02:21:30.000,8490.0,1337935.519,6070317.2333,1427877.5073
2026/02/07,02:22:00.000,8520.0,1337935.5193,6070317.2334,1427877.5074
2026/02/07,02:22:30.000,8550.0,1337935.5194,6070317.2334,1427877.5074
2026/02/07,02:23:00.000,8580.0,1337935.5193,6070317.2333,1427877.5074
2026/02/07,02:23:30.000,8610.0,1337935.5189,6070317.2331,1427877.5074
2026/02/07,02:24:00.000,8640.0,1337935.5187,6070317.2329,1427877.5073
2026/02/07,02:24:30.000,8670.0,1337935.5175,6070317.232,1427877.5073
2026/02/07,02:25:00.000,8700.0,1337935.5208,6070317.2331,1427877.5078
2026/02/07,02:25:30.000,8730.0,1337935.5231,6070317.2341,1427877.508
2026/02/07,02:26:00.000,8760.0,1337935.5237,6070317.2344,1427877.5081
2026/02/07,02:26:30.000,8790.0,1337935.5236,6070317.2343,1427877.5081
2026/02/07,02:27:00.000,8820.0,1337935.5236,6070317.2342,1427877.5081
2026/02/07,02:27:30.000,8850.0,1337935.5236,6070317.2342,1427877.5081
2026/02/07,02:28:00.000,8880.0,1337935.5235,6070317.2341,1427877.5081
2026/02/07,02:28:30.000,8910.0,1337935.5228,6070317.2338,1427877.508
2026/02/07,02:29:00.000,8940.0,1337935.522,6070317.2333,1427877.508
2026/02/07,02:29:30.000,8970.0,1337935.523,6070317.2337,1427877.5082
2026/02/07,02:30:00.000,9000.0,1337935.5231,6070317.2331,1427877.5086
2026/02/07,02:30:30.000,9030.0,1337935.5251,6070317.234,1427877.5088
2026/02/07,02:31:00.000,9060.0,1337935.5267,6070317.2347,1427877.509
2026/02/07,02:31:30.000,9090.0,1337935.5271,6070317.2348,1427877.509
2026/02/07,02:32:00.000,9120.0,1337935.5273,6070317.2349,1427877.509
2026/02/07,02:32:30.000,9150.0,1337935.5276,6070317.235,1427877.509
2026/02/07,02:33:00.000,9180.0,1337935.5282,6070317.2352,1427877.5091
2026/02/07,02:33:30.000,9210.0,1337935.5283,6070317.2352,1427877.5091
2026/02/07,02:34:00.000,9240.0,1337935.5283,6070317.2351,1427877.5091
2026/02/07,02:34:30.000,9270.0,1337935.5313,6070317.2358,1427877.5094
2026/02/07,02:35:00.000,9300.0,1337935.5324,6070317.236,1427877.5099
2026/02/07,02:35:30.000,9330.0,1337935.5333,6070317.2365,1427877.51
2026/02/07,02:36:00.000,9360.0,1337935.5348,6070317.2372,1427877.5102
2026/02/07,02:36:30.000,9390.0,1337935.5351,6070317.2374,1427877.5102
2026/02/07,02:37:00.000,9420.0,1337935.5354,6070317.2375,1427877.5103
2026/02/07,02:37:30.000,9450.0,1337935.5357,6070317.2376,1427877.5103
2026/02/07,02:38:00.000,9480.0,1337935.536,6070317.2377,1427877.5103
2026/02/07,02:38:30.000,9510.0,1337935.5359,6070317.2376,1427877.5103
2026/02/07,02:39:00.000,9540.0,1337935.5357,6070317.2373,1427877.5103
2026/02/07,02:39:30.000,9570.0,1337935.5348,6070317.2361,1427877.5102
2026/02/07,02:40:00.000,9600.0,1337935.5342,6070317.2344,1427877.5105
2026/02/07,02:40:30.000,9630.0,1337935.5354,6070317.2345,1427877.5105
2026/02/07,02:41:00.000,9660.0,1337935.5358,6070317.2345,1427877.5106
2026/02/07,02:41:30.000,9690.0,1337935.5362,6070317.2346,1427877.5106
2026/02/07,02:42:00.000,9720.0,1337935.5366,6070317.2347,1427877.5106
2026/02/07,02:42:30.000,9750.0,1337935.5367,6070317.2347,1427877.5106
2026/02/07,02:43:00.000,9780.0,1337935.537,6070317.2347,1427877.5107
2026/02/07,02:43:30.000,9810.0,1337935.5376,6070317.2348,1427877.5107
2026/02/07,02:44:00.000,9840.0,1337935.5395,6070317.2352,1427877.5109
2026/02/07,02:44:30.000,9870.0,1337935.5443,6070317.2367,1427877.5114
2026/02/07,02:45:00.000,9900.0,1337935.544,6070317.2355,1427877.5118
2026/02/07,02:45:30.000,9930.0,1337935.5401,6070317.233,1427877.5114
2026/02/07,02:46:00.000,9960.0,1337935.5401,6070317.2326,1427877.5113
2026/02/07,02:46:30.000,9990.0,1337935.5406,6070317.2324,1427877.5113
2026/02/07,02:47:00.000,10020.0,1337935.5409,6070317.2324,1427877.5113
2026/02/07,02:47:30.000,10050.0,1337935.5412,6070317.2325,1427877.5113
2026/02/07,02:48:00.000,10080.0,1337935.5421,6070317.2327,1427877.5114
2026/02/07,02:48:30.000,10110.0,1337935.5444,6070317.2335,1427877.5115
2026/02/07,02:49:00.000,10140.0,1337935.5487,6070317.235,1427877.5119
2026/02/07,02:49:30.000,10170.0,1337935.5484,6070317.2345,1427877.5119
2026/02/07,02:50:00.000,10200.0,1337935.5496,6070317.2334,1427877.5123
2026/02/07,02:50:30.000,10230.0,1337935.5535,6070317.2343,1427877.513
